#Predicted Hamaker constants for Muscovite-001
#Estimated self-vacuum-self Hamaker: 11.588252450720587#Nominal refractive index: 1.4014417770388599
#Name  kT        Joules        kJ/mol    
ALA    -0.087    -3.594E-22    -0.217    
ARG    -1.444    -5.979E-21    -3.609    
LYS    -0.021    -8.732E-23    -0.053    
HID    0.114     4.724E-22     0.285     
HIE    0.123     5.106E-22     0.308     
ASP    1.196     4.954E-21     2.990     
GLU    1.100     4.556E-21     2.750     
SER    1.216     5.037E-21     3.040     
THR    0.300     1.243E-21     0.750     
ASN    0.956     3.962E-21     2.391     
GLN    -0.696    -2.882E-21    -1.740    
CYS    2.454     1.016E-20     6.135     
GLY    1.704     7.057E-21     4.259     
PRO    0.052     2.174E-22     0.131     
VAL    -0.263    -1.090E-21    -0.658    
ILE    -1.295    -5.363E-21    -3.237    
LEU    -0.288    -1.193E-21    -0.720    
MET    -0.309    -1.278E-21    -0.772    
PHE    -0.527    -2.184E-21    -1.318    
TYR    -0.887    -3.676E-21    -2.218    
TRP    -1.052    -4.356E-21    -2.629    
HIP    -0.355    -1.469E-21    -0.886    
ETA    4.559     1.888E-20     11.398    
PHO    -0.754    -3.121E-21    -1.884    
CHL    4.035     1.671E-20     10.087    
DGL    0.384     1.592E-21     0.961     
EST    0.309     1.278E-21     0.771     
CYM    1.144     4.738E-21     2.860     
GAN    -0.002    -9.659E-24    -0.006    
MAN    1.223     5.065E-21     3.057     
FUC    0.871     3.609E-21     2.179     
BGL    1.759     7.288E-21     4.399     
NGL    -0.176    -7.293E-22    -0.440    
NGA    0.344     1.423E-21     0.859     
NC4    4.034     1.671E-20     10.085    
MAS    0.308     1.275E-21     0.769     
PRA    -0.002    -9.644E-24    -0.006    
DMP    -0.839    -3.477E-21    -2.099    
MMM    4.558     1.888E-20     11.395    
BTE    0.003     1.269E-23     0.008     
PAS    0.901     3.732E-21     2.253     
PGL    0.887     3.676E-21     2.219     
HMA    0.611     2.532E-21     1.528     
HMB    0.553     2.291E-21     1.383     
HMC    0.137     5.671E-22     0.342     
HMD    0.314     1.300E-21     0.785     
HFE    -1.504    -6.229E-21    -3.760    
HIS    -0.004    -1.793E-23    -0.011    
HAF    -0.004    -1.793E-23    -0.011    
HAS    0.488     2.020E-21     1.219     
X00    1.581     6.547E-21     3.952     
X01    -1.222    -5.062E-21    -3.055    
X02    1.409     5.837E-21     3.523     
X03    1.035     4.286E-21     2.587     
X04    1.535     6.359E-21     3.838     
X05    -0.111    -4.578E-22    -0.276    
X06    -0.490    -2.029E-21    -1.225    
X07    0.023     9.688E-23     0.058     
X08    0.329     1.364E-21     0.823     
X09    0.377     1.562E-21     0.943     
X0A    1.858     7.696E-21     4.645     
X0B    -0.781    -3.237E-21    -1.954    
X0C    -0.256    -1.060E-21    -0.640    
X0D    0.317     1.312E-21     0.792     
X0E    1.996     8.267E-21     4.990     
X0F    0.630     2.608E-21     1.574     
X0G    -0.274    -1.133E-21    -0.684    
X0H    -0.500    -2.071E-21    -1.250    
X0I    1.015     4.202E-21     2.537     
X0J    -0.162    -6.692E-22    -0.404    
X0K    4.013     1.662E-20     10.033    
X0L    3.735     1.547E-20     9.337     
X0M    -0.250    -1.034E-21    -0.624    
X0N    0.133     5.523E-22     0.333     
X0O    -0.606    -2.508E-21    -1.514    
X0P    0.795     3.291E-21     1.987     
X0Q    3.168     1.312E-20     7.920     
X0R    -0.250    -1.034E-21    -0.624    
X0S    4.013     1.662E-20     10.033    
X0T    0.133     5.523E-22     0.333     
X0U    -0.162    -6.692E-22    -0.404    
X0V    3.735     1.547E-20     9.337     
X0W    0.775     3.211E-21     1.938     
X0X    0.042     1.746E-22     0.105     
X0Y    -0.579    -2.397E-21    -1.447    
X0Z    -0.579    -2.397E-21    -1.447    
X10    1.236     5.118E-21     3.089     
X11    -0.449    -1.858E-21    -1.121    
X12    -0.724    -3.000E-21    -1.811    
X13    0.293     1.212E-21     0.732     
X14    -0.606    -2.508E-21    -1.514    
X15    2.943     1.219E-20     7.356     
X16    1.116     4.622E-21     2.790     
X17    1.805     7.478E-21     4.514     
X18    0.864     3.577E-21     2.159     
X19    -0.035    -1.451E-22    -0.088    
X1A    -0.584    -2.418E-21    -1.460    
X1B    1.936     8.021E-21     4.841     
X1C    -0.610    -2.526E-21    -1.525    
X1D    0.998     4.133E-21     2.494     
X1E    1.336     5.535E-21     3.341     
X1F    1.165     4.823E-21     2.911     
X1G    -0.476    -1.972E-21    -1.190    
X1H    -0.388    -1.609E-21    -0.971    
X1I    0.457     1.894E-21     1.143     
X1J    0.457     1.893E-21     1.143     
X1K    0.549     2.275E-21     1.373     
X1L    2.100     8.699E-21     5.251     
X1M    0.732     3.032E-21     1.830     
X1N    -0.181    -7.488E-22    -0.452    
X1O    0.274     1.137E-21     0.686     
X1P    2.190     9.070E-21     5.474     
X1Q    0.646     2.676E-21     1.615     
X1R    -0.383    -1.586E-21    -0.957    
X1S    -0.453    -1.876E-21    -1.132    
X1T    1.116     4.621E-21     2.789     
X1U    0.570     2.362E-21     1.425     
X1V    2.988     1.238E-20     7.470     
X1W    0.570     2.362E-21     1.425     
X1X    0.925     3.832E-21     2.313     
X1Y    -0.099    -4.117E-22    -0.249    
X1Z    0.910     3.767E-21     2.274     
X20    0.805     3.335E-21     2.013     
X21    1.009     4.179E-21     2.523     
X22    0.460     1.905E-21     1.150     
X23    5.165     2.139E-20     12.911    
X24    -0.203    -8.389E-22    -0.506    
X25    2.696     1.117E-20     6.739     
X26    1.911     7.916E-21     4.778     
X27    -0.218    -9.018E-22    -0.544    
X28    0.398     1.650E-21     0.996     
X29    -0.086    -3.566E-22    -0.215    
X2A    1.117     4.625E-21     2.791     
X2B    1.394     5.772E-21     3.484     
X2C    0.480     1.989E-21     1.200     
X2D    -0.038    -1.563E-22    -0.094    
X2E    4.024     1.667E-20     10.060    
X2F    2.471     1.024E-20     6.179     
X2G    0.259     1.072E-21     0.647     
